subfolder_name,step_nr,log_time,eval_return
alien,10000,2025-01-06 07:41:03.059700,249.89999389648438
alien,20000,2025-01-06 08:07:10.365881,100.0
alien,30000,2025-01-06 08:31:49.033212,157.3000030517578
alien,40000,2025-01-06 08:58:11.407597,265.3999938964844
alien,50000,2025-01-06 09:24:24.467860,471.3999938964844
alien,60000,2025-01-06 09:49:39.671561,487.79998779296875
alien,70000,2025-01-06 10:14:43.654752,495.79998779296875
alien,80000,2025-01-06 10:39:23.703078,499.1000061035156
alien,90000,2025-01-06 11:04:26.283479,498.5
alien,100000,2025-01-06 11:29:15.435201,573.5999755859375
alien,110000,2025-01-06 11:55:53.831601,698.4000244140625
alien,120000,2025-01-06 12:22:26.513248,738.2999877929688
alien,130000,2025-01-06 12:48:43.378520,786.7999877929688
alien,140000,2025-01-06 13:14:49.898175,741.9000244140625
alien,150000,2025-01-06 13:40:37.608085,766.7999877929688
alien,160000,2025-01-06 14:06:39.910477,833.7999877929688
alien,170000,2025-01-06 14:32:19.835891,818.4000244140625
alien,180000,2025-01-06 14:57:56.478782,781.5999755859375
alien,190000,2025-01-06 15:23:43.767702,849.7000122070312
alien,200000,2025-01-06 15:49:25.192049,846.7999877929688
alien,210000,2025-01-06 16:15:12.609864,1025.800048828125
alien,220000,2025-01-06 16:40:54.036752,1024.4000244140625
alien,230000,2025-01-06 17:07:00.131984,1083.800048828125
alien,240000,2025-01-06 17:32:50.415797,949.0999755859375
alien,250000,2025-01-06 17:58:29.638547,912.7999877929688
alien,260000,2025-01-06 18:24:00.292217,872.0999755859375
alien,270000,2025-01-06 18:48:42.917602,633.2000122070312
alien,280000,2025-01-06 19:14:00.097187,845.2999877929688
alien,290000,2025-01-06 19:39:34.732133,960.7000122070312
alien,300000,2025-01-06 20:05:35.016064,998.7999877929688
alien,310000,2025-01-06 20:32:05.319592,1038.0999755859375
alien,320000,2025-01-06 20:57:49.828465,922.4000244140625
alien,330000,2025-01-06 21:23:22.936154,906.2000122070312
alien,340000,2025-01-06 21:49:04.009655,936.2999877929688
alien,350000,2025-01-06 22:14:40.552696,922.4000244140625
alien,360000,2025-01-06 22:40:20.277248,886.7000122070312
alien,370000,2025-01-06 23:05:58.865848,1089.0
alien,380000,2025-01-06 23:31:30.573346,1126.0999755859375
alien,390000,2025-01-06 23:56:36.779207,1137.5999755859375
alien,400000,2025-01-07 00:21:54.764669,1213.699951171875
amidar,10000,2025-01-06 07:39:01.405872,2.7100000381469727
amidar,20000,2025-01-06 08:05:14.296225,31.0
amidar,30000,2025-01-06 08:30:26.883003,33.0
amidar,40000,2025-01-06 08:55:24.232955,33.0
amidar,50000,2025-01-06 09:20:22.004951,33.0
amidar,60000,2025-01-06 09:45:16.453111,33.0
amidar,70000,2025-01-06 10:10:41.581476,63.13999938964844
amidar,80000,2025-01-06 10:36:45.557412,64.0
amidar,90000,2025-01-06 11:02:16.197881,64.13999938964844
amidar,100000,2025-01-06 11:27:47.340162,57.400001525878906
amidar,110000,2025-01-06 11:54:11.138276,67.04000091552734
amidar,120000,2025-01-06 12:19:07.838457,37.47999954223633
amidar,130000,2025-01-06 12:44:44.333408,56.18000030517578
amidar,140000,2025-01-06 13:12:14.212403,98.70999908447266
amidar,150000,2025-01-06 13:39:44.854993,101.45999908447266
amidar,160000,2025-01-06 14:07:47.498020,129.38999938964844
amidar,170000,2025-01-06 14:36:00.440692,120.30999755859375
amidar,180000,2025-01-06 15:04:10.790544,104.19000244140625
amidar,190000,2025-01-06 15:32:15.794706,103.5
amidar,200000,2025-01-06 16:00:17.826605,106.01000213623047
amidar,210000,2025-01-06 16:26:48.743242,86.58000183105469
