subfolder_name,step_nr,log_time,eval_return
alien,10000,2025-01-13 22:19:53.037499,249.89999389648438
alien,20000,2025-01-13 23:02:48.576871,100.0
alien,30000,2025-01-13 23:40:39.687790,30.0
alien,40000,2025-01-14 00:22:04.297878,179.1999969482422
alien,50000,2025-01-14 01:04:12.686414,327.79998779296875
alien,60000,2025-01-14 01:47:59.904339,712.7999877929688
alien,70000,2025-01-14 02:30:19.591751,442.8999938964844
alien,80000,2025-01-14 03:13:59.714153,584.9000244140625
alien,90000,2025-01-14 03:56:45.053326,585.5999755859375
alien,100000,2025-01-14 04:39:38.605325,788.9000244140625
alien,110000,2025-01-14 05:22:29.990487,811.7000122070312
alien,120000,2025-01-14 06:04:59.315580,816.0
alien,130000,2025-01-14 06:47:41.664375,774.0
alien,140000,2025-01-14 07:31:00.124670,793.2000122070312
alien,150000,2025-01-14 08:12:05.988487,670.0999755859375
alien,160000,2025-01-14 08:52:54.734210,635.4000244140625
alien,170000,2025-01-14 09:34:17.258384,623.2999877929688
alien,180000,2025-01-14 10:14:56.202775,671.5999755859375
alien,190000,2025-01-14 10:55:40.575204,732.4000244140625
alien,200000,2025-01-14 11:36:15.270984,807.9000244140625
alien,210000,2025-01-14 12:17:06.986608,847.4000244140625
alien,220000,2025-01-14 12:59:16.112592,1031.4000244140625
alien,230000,2025-01-14 13:42:17.768692,946.9000244140625
alien,240000,2025-01-14 14:25:10.680012,950.2000122070312
alien,250000,2025-01-14 15:08:13.073638,947.2999877929688
alien,260000,2025-01-14 15:51:10.947055,1045.5
alien,270000,2025-01-14 16:33:10.087471,1053.4000244140625
alien,280000,2025-01-14 17:15:25.466114,1082.0999755859375
alien,290000,2025-01-14 17:57:17.813592,1118.5
alien,300000,2025-01-14 18:39:24.564864,972.5999755859375
alien,310000,2025-01-14 19:21:46.149159,1133.9000244140625
alien,320000,2025-01-14 20:03:15.637525,750.0
alien,330000,2025-01-14 20:44:18.585954,627.2999877929688
alien,340000,2025-01-14 21:24:22.419971,686.9000244140625
alien,350000,2025-01-14 21:50:13.506602,590.7000122070312
alien,360000,2025-01-14 22:15:44.838272,1248.5
alien,370000,2025-01-14 22:41:35.153005,1341.9000244140625
alien,380000,2025-01-14 23:07:21.331706,1236.0999755859375
alien,390000,2025-01-14 23:33:34.615750,1355.800048828125
alien,400000,2025-01-14 23:59:40.313092,1498.199951171875
amidar,10000,2025-01-13 15:09:30.500597,2.7100000381469727
amidar,20000,2025-01-13 15:53:17.805175,31.0
amidar,30000,2025-01-13 16:26:13.788872,51.22999954223633
amidar,40000,2025-01-13 16:58:00.013841,42.20000076293945
amidar,50000,2025-01-13 17:30:21.737181,52.97999954223633
amidar,60000,2025-01-13 18:03:26.387245,45.08000183105469
amidar,70000,2025-01-13 18:35:50.904846,54.4900016784668
amidar,80000,2025-01-13 19:08:45.107756,65.41999816894531
amidar,90000,2025-01-13 19:40:40.989650,70.37000274658203
amidar,100000,2025-01-13 20:12:40.574293,58.09000015258789
amidar,110000,2025-01-13 20:44:33.830212,65.02999877929688
amidar,120000,2025-01-13 21:16:17.404758,65.20999908447266
amidar,130000,2025-01-13 21:47:53.629435,63.81999969482422
amidar,140000,2025-01-13 22:21:32.813897,72.88999938964844
amidar,150000,2025-01-13 23:06:48.349323,100.05999755859375
amidar,160000,2025-01-13 23:40:44.169890,83.36000061035156
amidar,170000,2025-01-14 00:13:52.942164,75.45999908447266
amidar,180000,2025-01-14 00:46:34.128064,89.5999984741211
amidar,190000,2025-01-14 01:20:48.435241,90.06999969482422
amidar,200000,2025-01-14 01:54:05.178901,110.1500015258789
amidar,210000,2025-01-14 02:26:50.305771,98.54000091552734
amidar,220000,2025-01-14 02:59:17.254160,106.55999755859375
amidar,230000,2025-01-14 03:33:04.821467,106.69000244140625
amidar,240000,2025-01-14 04:06:59.850281,115.01000213623047
