acrobot_swingup_mean,acrobot_swingup_std,cartpole_balance_mean,cartpole_balance_std,cartpole_balance_sparse_mean,cartpole_balance_sparse_std,cartpole_swingup_mean,cartpole_swingup_std,cartpole_swingup_sparse_mean,cartpole_swingup_sparse_std,cheetah_run_mean,cheetah_run_std,finger_spin_mean,finger_spin_std,finger_turn_easy_mean,finger_turn_easy_std,finger_turn_hard_mean,finger_turn_hard_std,hopper_hop_mean,hopper_hop_std,hopper_stand_mean,hopper_stand_std,pendulum_swingup_mean,pendulum_swingup_std,reacher_easy_mean,reacher_easy_std,reacher_hard_mean,reacher_hard_std,walker_run_mean,walker_run_std,walker_stand_mean,walker_stand_std,walker_walk_mean,walker_walk_std
13.58708667755127,,323.1146850585937,,32.79999923706055,,85.06574249267578,,0.0,,11.41444206237793,,0.0,,200.0,,94.1999969482422,,0.0006171120330691,,0.9179336428642272,,0.0,,54.5,,1.5,,28.327735900878903,,154.61654663085938,,45.68009948730469,
5.609231472015381,,493.5092468261719,,186.3000030517578,,160.71278381347656,,0.0,,122.72048950195312,,23.5,,296.29998779296875,,39.5,,0.723573625087738,,3.4792723655700684,,26.200000762939453,,67.0999984741211,,16.299999237060547,,67.2479248046875,,400.1410827636719,,180.71859741210935,
42.2047004699707,,589.9616088867188,,209.0,,321.385009765625,,0.0,,279.1142578125,,160.39999389648438,,301.29998779296875,,149.89999389648438,,0.0564424283802509,,60.765506744384766,,51.0,,433.7999877929688,,6.0,,91.15347290039062,,444.3119201660156,,224.3729248046875,
83.93730163574219,,648.1405029296875,,306.20001220703125,,402.1575317382813,,0.0,,309.6235656738281,,238.6000061035156,,324.20001220703125,,9.600000381469728,,0.2988686859607696,,65.45511627197266,,347.70001220703125,,768.7000122070312,,128.8000030517578,,113.17550659179688,,784.2837524414062,,257.56591796875,
73.1941146850586,,478.19866943359375,,556.4000244140625,,369.05804443359375,,0.0,,394.5489807128906,,454.2000122070313,,422.3999938964844,,15.699999809265137,,0.3358725905418396,,143.43313598632812,,807.7999877929688,,965.7999877929688,,36.5,,151.61224365234375,,590.10107421875,,404.6807861328125,
73.6095199584961,,974.7954711914062,,337.1000061035156,,379.7736206054688,,0.0,,403.7059326171875,,487.7999877929688,,556.0999755859375,,171.89999389648438,,0.0204659514129161,,57.0950813293457,,791.2000122070312,,706.0,,225.6000061035156,,157.98597717285156,,934.24609375,,457.5320739746094,
95.88194274902344,,971.070556640625,,903.2000122070312,,551.0843505859375,,0.0,,374.1956176757813,,455.0,,608.4000244140625,,164.0,,0.0029626886826008,,182.5453338623047,,782.7999877929688,,667.9000244140625,,360.8999938964844,,180.5076446533203,,844.4097290039062,,596.09228515625,
71.91702270507812,,985.3577880859376,,996.7999877929688,,424.7049865722656,,0.0,,293.0561828613281,,488.7000122070313,,675.2000122070312,,320.3999938964844,,0.6839110851287842,,186.73245239257807,,841.5,,955.2999877929688,,656.9000244140625,,214.55601501464844,,879.7808837890625,,643.59375,
135.17214965820312,,970.5782470703124,,1000.0,,587.6624145507812,,0.0,,474.785888671875,,487.1000061035156,,646.2000122070312,,191.3000030517578,,0.8959312438964844,,204.0732879638672,,801.2000122070312,,799.2999877929688,,553.4000244140625,,242.71473693847656,,947.0097045898438,,757.6365966796875,
115.510986328125,,843.694580078125,,999.5,,670.8141479492188,,0.0,,475.9825134277344,,472.8999938964844,,688.0999755859375,,219.1999969482422,,0.8703152537345886,,223.17059326171875,,801.7000122070312,,896.0,,854.2999877929688,,245.63351440429688,,954.4951782226562,,850.1912841796875,
127.6490707397461,,985.1669311523438,,1000.0,,753.92578125,,0.0,,556.9833374023438,,517.5,,511.8999938964844,,278.6000061035156,,0.0,,102.8947525024414,,818.9000244140625,,893.5999755859375,,938.7999877929688,,295.37518310546875,,949.3121337890624,,837.23388671875,
64.08456420898438,,991.5548706054688,,1000.0,,820.7542114257812,,0.0,,531.6591186523438,,510.1000061035156,,733.7000122070312,,203.0,,1.0507895946502686,,266.1415710449219,,888.4000244140625,,892.2999877929688,,832.0,,300.03814697265625,,934.8766479492188,,854.9820556640625,
136.771240234375,,948.1306762695312,,1000.0,,852.039794921875,,0.0,,555.031005859375,,540.4000244140625,,829.7000122070312,,418.6000061035156,,1.40627121925354,,308.83160400390625,,852.5999755859375,,954.0999755859376,,826.4000244140625,,322.4096069335937,,957.0211791992188,,843.8848876953125,
114.321044921875,,946.9198608398438,,999.2000122070312,,811.2294311523438,,0.0,,603.64697265625,,515.2999877929688,,930.7999877929688,,172.0,,0.2552222013473511,,299.0469970703125,,839.0999755859375,,939.0,,931.0999755859376,,313.6799011230469,,952.5106811523438,,838.4434814453125,
134.2156524658203,,981.0858764648438,,1000.0,,822.9166870117188,,0.0,,570.474365234375,,524.7999877929688,,745.5999755859375,,384.2000122070313,,0.4431526958942413,,440.5836486816406,,827.5999755859375,,824.4000244140625,,940.4000244140624,,349.7574768066406,,931.945556640625,,937.8712158203124,
148.49810791015625,,992.8368530273438,,1000.0,,833.08154296875,,0.0,,577.5315551757812,,536.7000122070312,,809.2000122070312,,245.6000061035156,,0.5829165577888489,,706.6865234375,,859.7999877929688,,888.0,,940.2999877929688,,373.3573303222656,,860.1205444335938,,894.130859375,
169.33555603027344,,959.887939453125,,1000.0,,808.5582885742188,,0.0,,306.3742370605469,,528.2000122070312,,857.7000122070312,,479.1000061035156,,17.795976638793945,,633.1221313476562,,842.7000122070312,,923.5999755859376,,726.0999755859375,,384.6554260253906,,940.88330078125,,916.1087036132812,
