alien_norm,amidar_norm,assault_norm,asterix_norm,bank_heist_norm,battle_zone_norm,boxing_norm,breakout_norm,chopper_command_norm,crazy_climber_norm,demon_attack_norm,freeway_norm,frostbite_norm,gopher_norm,hero_norm,jamesbond_norm,kangaroo_norm,krull_norm,kung_fu_master_norm,ms_pacman_norm,pong_norm,private_eye_norm,qbert_norm,road_runner_norm,seaquest_norm,up_n_down_norm
-0.0003043526792790945,-0.001797280720890337,0.1511354747416883,-0.002592454149735329,-0.00013533579446511158,0.02785155408800517,-0.11416666507720948,0.017013890875710383,-0.08545189149738475,-0.28829609284240026,-0.03389411350363285,0.0,0.007916617870945076,0.022460438999489525,-0.01288113101558882,0.023739956172388603,0.0013409319477036541,-0.6389695321648128,0.011589212467412291,0.001956562435917815,-0.0011331379920159993,0.0005307248308077918,0.008340167480494466,-0.001085083296100083,0.00453481225525871,-0.01140701391570497
-0.012724822098871,-0.003384489700647721,-0.0743841416474211,-0.0010098513257689944,-0.01921775612396806,-0.06647046156054842,-5.960416682561238,-0.059027777777777776,-0.0362638365162389,-0.1997692513443704,-0.060970916068536225,0.02094594503727716,0.0222040051528282,-0.11091001884938062,-0.03446378114995604,-0.10591672753834916,-0.014247401944351324,-1.4969555035128805,-0.011500235788199913,-0.0372198726728173,-0.00849858356940512,0.0063249858911359445,-0.002926770545703516,-0.00146805387119423,-0.0009253018314569825,-0.043412516421704635
-0.029391730314932103,0.009161463500029176,0.17235373716523225,0.028140185450906154,-0.019014751649803135,-0.06776254396669298,-5.039166537920635,-0.059027777777777776,-0.061466062522807445,-0.21693567382200415,0.0046525382964146674,0.04822635167353862,0.015259398368695172,-0.06656921434592768,-0.03317390618603059,-0.10546018991964938,-0.017432115320147504,-1.4969555035128805,-0.011500235788199913,-0.0372198726728173,-0.00849858356940512,0.00035372068144433067,-0.002926770545703516,-0.00146805387119423,0.0006180587341060153,-0.03423672494594507
-0.028119972670298907,0.011933243858318258,0.39524635156362764,0.01116865421484813,-0.019116253886885596,-0.03481444261000646,-3.2360417127609256,-0.0380208326710595,-0.030561975428779954,-0.13762081368842544,-0.004576943366220438,0.010557432432432432,0.045608387111793824,-0.09673302678908322,-0.03446378114995604,-0.051588750913075236,-0.017432115320147504,-1.4969555035128805,-0.011500235788199913,0.01096052255316587,-0.00849858356940512,1.437888948960714e-06,-0.004868859612823619,-0.00146805387119423,0.0016660196392982885,0.03760147754448574
-0.024688763494697105,0.009311722994003745,0.32108352696372516,0.020905429684202913,-0.019116253886885596,-0.02282678917522073,-1.795625029007594,-0.010590277405248746,-0.01493887604914244,-0.01812454838336214,-0.0144524152469357,0.024577702169080038,0.03756880250352931,-0.10643185320749787,-0.03156942757236723,-0.07076333089846604,-0.0006704659738518271,-0.3217564459986095,0.20017528405804838,0.0028934577797328376,0.033852687976177846,0.0007203823634293076,-0.002926770545703516,0.026169655964766707,0.0033117944888747565,0.022444397961487256
-0.009094334811075445,0.011933243858318258,0.3605898709550465,0.029029457513896764,-0.019116253886885596,-0.01751489483884861,-1.1616666992505391,-0.017187500579489593,0.009617139034180756,0.06281712969431791,0.0010445873879817503,0.012077702511404009,0.03173088255106168,-0.035175644785485266,-0.03170156110525715,-0.05752373995617239,-0.016761649346295676,-0.2813817044331823,0.19602674638977124,0.009602215777255452,0.07131727694114273,0.0007203823634293076,-0.000956467109569562,0.06344545860726368,0.003981060516035212,0.04062124721405615
-0.0008043589306080838,0.01426153922572105,0.3422007248711824,0.030340756996611724,-0.014785491818422748,-0.009044576843011987,0.2491666607558727,-0.009953703593324727,-0.012087945505412966,0.15814067683610855,-0.015497002949505718,0.004814188939997473,0.03460007008714381,-0.00466378985704186,-0.001431236665720933,-0.018718042366691015,-0.017432115320147504,0.3136534072197014,0.38136516918915553,0.015208523222119193,0.14837109536016965,0.0010618809888074722,-0.002926770545703516,0.11712516754962661,0.004678907130995613,0.11999767184990293
0.006873287797521861,0.014670012287576856,0.3240136637698695,0.020875284868508315,-0.014244146607760761,-0.01335151819682722,-0.4818749941885471,-0.011631944113307527,-0.012620119206909135,0.3147443600317778,-0.0075801297996873716,0.006081081149671726,0.035355427499983993,0.04594180987679967,0.04047564797996142,0.0739590942293645,0.04425075427422058,0.18288056777846898,0.6346706528218954,0.0265076825884387,0.19943342870760905,0.0009720129294974289,0.003999857047196996,0.09204059488095997,0.0034761337999960106,0.1416490400612368
0.009829852053696825,0.01470502421660734,0.3306822479459486,0.02227701879830707,-0.005650291166668219,-0.007896059148661259,0.3562499950329463,0.005902777943346252,-0.024670052305072375,0.19571717720139406,0.009841112760459621,0.005152027147847253,0.0772924231790466,0.09617615241761869,0.05588745198296253,0.1785062089116143,0.052296345960442504,1.198337270839432,0.6190218793654183,0.021270111223153677,0.15750707242711745,0.0007991786781066092,0.007841713627916424,0.09555115848598966,0.003959624961615549,0.12762101744812432
0.013645126507968808,0.015288556923615568,0.33573421099444745,0.032646835397248386,-0.002943564629357921,-0.001220300050247649,0.6847916414340337,-0.032291667328940496,-0.01801788103637027,0.6069727612789384,0.03750206378288927,0.014527027001226874,0.1047839300430607,0.09443593599430185,0.052669685443802974,0.1885500365230095,0.05715722427086825,1.2470257153834894,0.6396978351973948,0.028343842447000514,0.2133144521848338,0.0010798546006694808,0.008979693178141764,0.11536988574711177,0.004887308579135742,0.1447987430067771
0.019532891338750153,0.015288556923615568,0.3708958820345954,0.03908275354804481,-0.00619163589332984,-0.007824276792764338,0.3129166682561239,0.01458332935969035,-0.008666828852937599,0.7259201002838448,0.005167958656330752,0.013260134823016216,0.17923644472723724,0.08738224582387993,0.050472492325112875,0.23192111029948867,0.045759302715387196,1.3402107613985657,0.4412798405537909,0.03311861156852137,0.2668555248898082,0.0010798546006694808,0.011570712732580448,0.21088913001851026,0.005233850125538067,0.16931306684518593
0.014829925624240533,0.01714710884029684,0.36139819620204383,0.04423751703182087,3.383459395010022e-05,-0.011054482808125763,-0.04687493840853373,-0.0006944462656974777,-0.008324717187690062,0.6822954301386488,0.042140854362526806,0.010810810820879162,0.12184096176767532,0.16042507914601967,0.04027304328073523,0.3086194302410519,0.07274555816292323,1.7809134061219258,0.5363180560375126,0.025732584193259397,0.39575070683071367,0.0010798546006694808,0.01906633010059363,0.49971277206867937,0.0054100981284789995,0.1602268830518846
0.021768432532267783,0.018022407344309026,0.42454773430827936,0.053959220093328354,0.0057179584185669645,-0.006891106166104372,1.8122917036215467,0.029513887233204313,0.009731176255929935,0.9713400588448993,0.021276593227974757,0.009290540741907584,0.13567162359719923,0.053714788841301715,0.04209564632347489,0.2689006574141709,0.0817968488099229,2.065081944342799,0.8434766747635445,0.02958550823572167,0.3771954634709669,0.0010798546006694808,0.013766731120825213,0.5597114955000957,0.005479168041326455,0.10117340867251344
0.026674300512111136,0.022111513167089293,0.4630436827532597,0.055421243654516304,0.006056299518064293,-0.007178235589692054,1.8564583381017048,0.019618059198061626,0.023871791752828123,1.0325104096387465,0.03198361521314071,0.006334459459459459,0.14330132101693105,0.084829919669815,0.06319883875467079,0.36842585829072316,0.051625879986590684,2.11585473232582,0.8624175853508795,0.03405550806059799,0.36699717629057155,0.0010798546006694808,0.015878106402028424,0.5506159443416098,0.005376753973095419,0.09524588363653749
0.025123552736398918,0.024673221394695317,0.46193225205724653,0.056807905176467756,0.005751792947983675,-0.013710429976311823,1.9933332920074462,0.002430554893281734,0.026608685074808416,1.3221139451233386,0.026973719541547692,0.004138513468205925,0.18795526211679728,0.19193465204392457,0.04028940302895675,0.36157779401022644,0.08414347971840429,2.5007495174363292,0.9086076039470056,0.035293407551279854,0.4228753564040317,0.0010798546006694808,0.015135128017997004,0.5512223144188422,0.005885252955971418,0.16473413392650124
0.031754082507932636,0.023405496789059992,0.451020030079666,0.05629544330965961,0.039822710723608504,-0.0053118943363721196,2.5687499761581423,0.042013885660303965,0.031968434497019825,0.9012172191194024,0.02753725093300671,0.004054054089293283,0.22969903013356913,0.21284050303958418,0.06547111686812486,0.5090394448502557,0.08649011062688569,2.8235363569415983,0.9124336011531378,0.03314494809651811,0.5419971649521809,0.0010634267205246275,0.014208756235375552,0.5387119422991,0.005274339541441337,0.15860947711649037
0.036909956101322576,0.024099901022039873,0.47385489894758287,0.06865481774444432,0.08661523990112255,-0.004665853133299835,2.7618749459584553,0.047916664017571345,0.03421116652475368,1.252160773526981,0.024004891389434378,0.007685810843532952,0.2501288278528113,0.20673812391077637,0.06411622381658691,0.5615412710007305,0.08984244049614482,2.698571520052693,1.0706675030474513,0.032565507736218684,0.5897308792338493,0.0010526425534074224,0.016691620708594472,0.3385459883832259,0.005942414494994359,0.1632847362855965
