alien_mean,alien_std,amidar_mean,amidar_std,assault_mean,assault_std,asterix_mean,asterix_std,bank_heist_mean,bank_heist_std,battle_zone_mean,battle_zone_std,boxing_mean,boxing_std,breakout_mean,breakout_std,chopper_command_mean,chopper_command_std,crazy_climber_mean,crazy_climber_std,demon_attack_mean,demon_attack_std,freeway_mean,freeway_std,frostbite_mean,frostbite_std,gopher_mean,gopher_std,hero_mean,hero_std,jamesbond_mean,jamesbond_std,kangaroo_mean,kangaroo_std,krull_mean,krull_std,kung_fu_master_mean,kung_fu_master_std,ms_pacman_mean,ms_pacman_std,pong_mean,pong_std,private_eye_mean,private_eye_std,qbert_mean,qbert_std,road_runner_mean,road_runner_std,seaquest_mean,seaquest_std,up_n_down_mean,up_n_down_std
225.6999969482422,,2.7200000286102295,,300.92999267578125,,188.5,,14.100000381469727,,3330.0,,-1.2699999809265137,,2.190000057220459,,249.0,,3538.0,,90.44999694824219,,0.0,,99.0,,306.0,,643.1500244140625,,35.5,,56.0,,915.9000244140625,,519.0,,320.29998779296875,,-20.739999771118164,,61.810001373291016,,274.75,,3.0,,258.79998779296875,,406.1000061035156,
140.0,,0.0,,111.51000213623047,,206.5,,0.0,,0.0,,-28.31999969482422,,0.0,,104.0,,5887.0,,0.0,,0.0,,160.0,,0.800000011920929,,0.0,,16.5,,20.0,,0.0,,0.0,,60.0,,-21.0,,-33.869998931884766,,125.0,,0.0,,80.0,,30.0,
0.0,,12.0,,469.7699890136719,,253.5,,3.5,,0.0,,-45.81999969482422,,0.0,,1103.0,,3400.0,,75.44999694824219,,1.0299999713897705,,117.69999694824219,,156.39999389648438,,0.0,,0.0,,0.0,,392.79998779296875,,0.0,,60.0,,-21.0,,-542.780029296875,,125.0,,0.0,,115.4000015258789,,68.30000305175781,
0.0,,31.0,,256.8299865722656,,416.5,,7.800000190734863,,0.0,,-100.0,,,,1103.0,,3400.0,,65.9000015258789,,0.0,,136.0,,34.20000076293945,,0.0,,0.0,,0.0,,0.0,,0.0,,448.6000061035156,,-21.0,,20.0,,121.5,,0.0,,81.80000305175781,,331.79998779296875,
54.20000076293945,,31.0,,341.25,,311.0,,2.0999999046325684,,6260.0,,-17.170000076293945,,,,1015.0,,2632.0,,62.25,,0.0,,213.60000610351562,,338.79998779296875,,42.20000076293945,,4.5,,0.0,,1753.0999755859375,,0.0,,263.8999938964844,,-20.790000915527344,,0.0,,125.0,,100.0,,95.0,,521.7000122070312,
306.0,,31.0,,310.5899963378906,,417.0,,3.700000047683716,,5580.0,,-32.4900016784668,,,,649.0,,11000.0,,91.1500015258789,,0.0,,200.0,,182.60000610351562,,2646.199951171875,,11.0,,0.0,,1781.5999755859375,,23428.0,,292.0,,-13.779999732971191,,0.0,,150.0,,311.0,,111.5999984741211,,747.2000122070312,
469.70001220703125,,31.0,,514.7000122070312,,516.5,,0.8999999761581421,,4970.0,,-18.09000015258789,,,,730.0,,32739.0,,115.5999984741211,,0.0,,139.3000030517578,,351.79998779296875,,2954.5,,79.0,,0.0,,2116.39990234375,,6314.0,,417.3999938964844,,-12.75,,0.0,,150.0,,184.0,,194.39999389648438,,857.5999755859375,
377.1000061035156,,30.219999313354492,,587.989990234375,,506.5,,6.300000190734863,,4610.0,,12.569999694824219,,,,800.0,,37190.0,,179.60000610351562,,0.0,,199.1999969482422,,429.0,,3000.449951171875,,102.0,,0.0,,1739.5999755859375,,9074.0,,398.1000061035156,,-12.319999694824219,,0.0,,150.0,,331.0,,88.0,,336.20001220703125,
328.70001220703125,,33.0,,626.219970703125,,598.0,,10.800000190734863,,5210.0,,14.869999885559082,,,,813.0,,39182.0,,144.4499969482422,,0.0,,210.5,,362.20001220703125,,3008.949951171875,,95.5,,346.0,,1814.0,,6988.0,,406.8999938964844,,-10.539999961853027,,-23.079999923706055,,178.75,,182.0,,112.4000015258789,,2139.39990234375,
438.0,,33.0,,642.8099975585938,,627.5,,0.10000000149011612,,4770.0,,10.729999542236328,,,,485.0,,23905.0,,151.39999389648438,,0.0,,211.8000030517578,,423.20001220703125,,3136.5,,80.5,,180.0,,2144.5,,16924.0,,392.0,,-9.079999923706055,,-31.360000610351562,,142.0,,100.0,,195.39999389648438,,2032.699951171875,
431.1000061035156,,33.0,,675.3599853515625,,666.0,,10.0,,4820.0,,9.800000190734863,,,,737.0,,23814.0,,145.1999969482422,,0.0,,219.39999389648438,,449.79998779296875,,3077.64990234375,,119.0,,114.0,,1360.4000244140625,,5544.0,,344.20001220703125,,-12.380000114440918,,0.0,,222.5,,70.0,,198.39999389648438,,2455.5,
472.1000061035156,,33.0,,685.02001953125,,741.0,,18.299999237060547,,6230.0,,15.09000015258789,,,,566.0,,51218.0,,145.25,,0.0,,220.0,,395.6000061035156,,3150.449951171875,,102.0,,148.0,,2646.10009765625,,23876.0,,380.1000061035156,,-5.889999866485596,,0.0,,315.75,,120.0,,169.8000030517578,,2606.10009765625,
443.79998779296875,,33.0,,695.9400024414062,,747.0,,16.899999618530273,,7670.0,,20.84000015258789,,,,747.0,,49421.0,,136.35000610351562,,0.0,,219.10000610351562,,481.3999938964844,,3108.050048828125,,178.0,,942.0,,2636.699951171875,,14825.0,,379.6000061035156,,-4.159999847412109,,0.0,,264.5,,2179.0,,173.60000610351562,,3278.0,
