subfolder_name,step_nr,log_time,eval_return
alien,10000,2025-11-22 04:38:43.504680,225.6999969482422
alien,20000,2025-11-22 05:23:41.226941,140.0
alien,30000,2025-11-22 06:06:57.505943,0.0
alien,40000,2025-11-22 06:46:17.239544,0.0
alien,50000,2025-11-22 07:29:01.056634,0.0
alien,60000,2025-11-22 08:09:52.894108,108.30000305175781
alien,70000,2025-11-22 08:52:22.266387,170.5
alien,80000,2025-11-22 09:34:25.624545,161.3000030517578
alien,90000,2025-11-22 10:16:35.007776,181.89999389648438
alien,100000,2025-11-22 10:59:37.244936,174.39999389648438
alien,110000,2025-11-22 11:45:32.374551,221.60000610351562
alien,120000,2025-11-22 12:28:56.822413,251.3000030517578
alien,130000,2025-11-22 13:08:19.815893,307.70001220703125
alien,140000,2025-11-22 13:46:25.564513,303.3999938964844
alien,150000,2025-11-22 14:26:18.093005,332.29998779296875
alien,160000,2025-11-22 15:06:13.695592,335.0
alien,170000,2025-11-22 15:45:35.895371,375.8999938964844
alien,180000,2025-11-22 16:26:13.721421,443.79998779296875
alien,190000,2025-11-22 17:07:32.844542,384.79998779296875
alien,200000,2025-11-22 17:48:47.139555,363.5
alien,210000,2025-11-22 18:30:02.186660,361.1000061035156
alien,220000,2025-11-22 19:11:30.839589,412.6000061035156
alien,230000,2025-11-22 19:53:12.799886,435.8999938964844
alien,240000,2025-11-22 20:34:49.152743,499.8999938964844
alien,250000,2025-11-22 21:16:29.336762,426.8999938964844
alien,260000,2025-11-22 21:57:43.454252,511.8999938964844
alien,270000,2025-11-22 22:39:34.527484,542.7999877929688
alien,280000,2025-11-22 23:19:55.712117,517.7999877929688
alien,290000,2025-11-22 23:57:49.803018,530.7000122070312
alien,300000,2025-11-23 00:36:12.775238,531.2000122070312
alien,310000,2025-11-23 01:14:54.554573,516.5999755859375
alien,320000,2025-11-23 01:53:23.137533,523.7999877929688
alien,330000,2025-11-23 02:31:27.796248,540.2000122070312
alien,340000,2025-11-23 03:09:25.152252,538.0
alien,350000,2025-11-23 03:47:19.838788,548.7999877929688
alien,360000,2025-11-23 04:25:24.401468,560.0999755859375
alien,370000,2025-11-23 05:03:22.155962,549.7999877929688
alien,380000,2025-11-23 05:41:58.803703,561.2000122070312
alien,390000,2025-11-23 06:19:18.915040,552.2999877929688
alien,400000,2025-11-23 06:56:06.487588,544.5999755859375
amidar,10000,2025-11-20 23:10:59.761486,2.7200000286102295
amidar,20000,2025-11-20 23:54:38.382147,0.0
amidar,30000,2025-11-21 00:37:34.922899,31.0
